iter	Passed	Remaining
0	17	16026
1	33	14965
2	48	14402
3	57	12962
4	72	13011
5	88	13220
6	98	12540
7	113	12626
8	128	12682
9	143	12758
10	159	12897
11	176	13026
12	191	13098
13	207	13139
14	224	13227
15	240	13286
16	257	13377
17	272	13370
18	286	13302
19	302	13305
20	319	13366
21	337	13467
22	356	13610
23	373	13644
24	389	13641
25	407	13685
26	423	13701
27	441	13743
28	458	13781
29	476	13828
30	493	13820
31	508	13788
32	522	13722
33	537	13678
34	552	13657
35	568	13639
36	583	13604
37	600	13618
38	619	13673
39	637	13699
40	654	13704
41	662	13543
42	686	13678
43	703	13688
44	721	13715
45	740	13740
46	757	13745
47	775	13757
48	789	13713
49	805	13701
50	825	13733
51	843	13759
52	861	13773
53	879	13772
54	896	13772
55	913	13774
56	935	13832
57	954	13850
58	970	13840
59	988	13834
60	1007	13860
61	1027	13885
62	1043	13870
63	1059	13842
64	1075	13820
65	1093	13812
66	1111	13821
67	1129	13818
68	1146	13805
69	1163	13795
70	1181	13795
71	1197	13765
72	1214	13754
73	1229	13728
74	1238	13627
75	1255	13614
76	1272	13595
77	1287	13573
78	1304	13556
79	1321	13541
80	1339	13538
81	1355	13523
82	1371	13498
83	1388	13486
84	1405	13474
85	1421	13452
86	1438	13446
87	1454	13418
88	1470	13401
89	1487	13386
90	1505	13382
91	1521	13359
92	1536	13329
93	1553	13317
94	1568	13294
95	1583	13265
96	1599	13244
97	1616	13230
98	1633	13212
99	1647	13176
100	1662	13149
101	1682	13162
102	1698	13145
103	1714	13119
104	1729	13093
105	1744	13066
106	1761	13053
107	1776	13028
108	1791	12997
109	1806	12975
110	1824	12966
111	1840	12947
112	1854	12918
113	1869	12891
114	1887	12885
115	1902	12859
116	1921	12857
117	1939	12855
118	1957	12845
119	1973	12829
120	1985	12781
121	2004	12781
122	2022	12777
123	2039	12761
124	2055	12745
125	2071	12722
126	2086	12700
127	2103	12684
128	2120	12672
129	2136	12654
130	2151	12631
131	2167	12609
132	2183	12590
133	2199	12574
134	2216	12562
135	2232	12543
136	2248	12520
137	2265	12507
138	2283	12501
139	2299	12481
140	2314	12458
141	2329	12433
142	2344	12410
143	2359	12389
144	2374	12365
145	2391	12348
146	2405	12324
147	2420	12300
148	2436	12279
149	2451	12256
150	2466	12235
151	2480	12207
152	2495	12183
153	2511	12165
154	2526	12145
155	2543	12129
156	2558	12108
157	2574	12091
158	2591	12076
159	2606	12056
160	2621	12032
161	2636	12011
162	2652	11992
163	2671	11990
164	2690	11987
165	2705	11964
166	2721	11944
167	2735	11919
168	2751	11900
169	2769	11890
170	2785	11873
171	2800	11852
172	2815	11830
173	2830	11810
174	2845	11790
175	2861	11770
176	2878	11756
177	2894	11740
178	2910	11722
179	2924	11699
180	2939	11675
181	2953	11651
182	2968	11632
183	2983	11610
184	2999	11591
185	3014	11572
186	3030	11553
187	3035	11495
188	3051	11478
189	3066	11459
190	3081	11439
191	3097	11422
192	3113	11404
193	3129	11390
194	3146	11374
195	3161	11356
196	3178	11342
197	3196	11333
198	3213	11321
199	3231	11309
200	3247	11294
201	3264	11279
202	3278	11258
203	3294	11239
204	3309	11220
205	3324	11199
206	3338	11176
207	3354	11159
208	3371	11145
209	3386	11126
210	3403	11112
211	3419	11096
212	3437	11088
213	3459	11090
214	3477	11080
215	3493	11064
216	3508	11043
217	3523	11021
218	3538	11004
219	3556	10992
220	3572	10977
221	3588	10959
222	3603	10940
223	3619	10922
224	3634	10902
225	3649	10884
226	3669	10879
227	3687	10868
228	3703	10852
229	3719	10834
230	3736	10820
231	3754	10811
232	3772	10800
233	3789	10785
234	3806	10770
235	3823	10758
236	3842	10749
237	3859	10736
238	3876	10721
239	3893	10708
240	3910	10694
241	3926	10675
242	3943	10661
243	3960	10648
244	3977	10632
245	3991	10612
246	4006	10591
247	4021	10572
248	4036	10553
249	4052	10537
250	4068	10519
251	4085	10505
252	4101	10487
253	4116	10469
254	4131	10450
255	4148	10436
256	4163	10417
257	4179	10400
258	4195	10383
259	4210	10365
260	4227	10349
261	4243	10334
262	4260	10318
263	4276	10303
264	4292	10286
265	4307	10267
266	4324	10253
267	4342	10241
268	4360	10228
269	4375	10209
270	4389	10189
271	4396	10151
272	4412	10134
273	4428	10118
274	4445	10102
275	4460	10083
276	4475	10065
277	4489	10045
278	4499	10014
279	4514	9995
280	4530	9979
281	4545	9961
282	4562	9947
283	4580	9934
284	4597	9919
285	4613	9905
286	4630	9890
287	4636	9851
288	4652	9835
289	4673	9830
290	4692	9819
291	4709	9806
292	4728	9795
293	4745	9780
294	4761	9764
295	4776	9746
296	4791	9727
297	4808	9713
298	4824	9698
299	4841	9682
300	4857	9667
301	4873	9651
302	4889	9634
303	4905	9616
304	4920	9599
305	4936	9582
306	4951	9564
307	4966	9546
308	4982	9529
309	4997	9511
310	5013	9495
311	5030	9479
312	5044	9461
313	5061	9446
314	5078	9430
315	5094	9415
316	5111	9400
317	5126	9381
318	5141	9364
319	5159	9350
320	5174	9333
321	5189	9315
322	5203	9295
323	5219	9278
324	5235	9262
325	5251	9246
326	5267	9230
327	5283	9214
328	5298	9195
329	5313	9178
330	5329	9161
331	5344	9144
332	5360	9127
333	5376	9110
334	5391	9092
335	5407	9077
336	5424	9062
337	5440	9046
338	5454	9027
339	5471	9011
340	5486	8994
341	5502	8977
342	5517	8960
343	5533	8943
344	5548	8925
345	5563	8908
346	5578	8890
347	5593	8872
348	5609	8855
349	5623	8837
350	5640	8822
351	5655	8804
352	5679	8800
353	5700	8792
354	5720	8781
355	5737	8767
356	5754	8752
357	5771	8737
358	5787	8722
359	5810	8715
360	5829	8703
361	5847	8690
362	5864	8675
363	5879	8658
364	5896	8642
365	5911	8625
366	5927	8608
367	5943	8591
368	5959	8575
369	5974	8557
370	5989	8540
371	6005	8524
372	6021	8506
373	6036	8490
374	6053	8474
375	6070	8459
376	6086	8443
377	6102	8427
378	6117	8409
379	6131	8391
380	6149	8376
381	6166	8361
382	6182	8345
383	6197	8328
384	6212	8310
385	6229	8295
386	6245	8279
387	6262	8264
388	6279	8248
389	6297	8235
390	6316	8222
391	6332	8206
392	6349	8190
393	6364	8173
394	6379	8156
395	6394	8138
396	6410	8121
397	6425	8105
398	6440	8087
399	6456	8070
400	6471	8052
401	6486	8035
402	6502	8018
403	6516	8000
404	6532	7983
405	6547	7966
406	6562	7949
407	6578	7932
408	6594	7916
409	6609	7899
410	6624	7882
411	6640	7865
412	6658	7851
413	6685	7848
414	6702	7832
415	6718	7816
416	6736	7802
417	6753	7787
418	6773	7775
419	6792	7763
420	6808	7746
421	6824	7729
422	6839	7712
423	6854	7695
424	6869	7677
425	6885	7660
426	6901	7644
427	6916	7627
428	6933	7612
429	6948	7594
430	6963	7577
431	6978	7560
432	6995	7544
433	7011	7528
434	7026	7511
435	7041	7493
436	7057	7476
437	7073	7460
438	7088	7444
439	7106	7429
440	7121	7412
441	7138	7397
442	7155	7381
443	7172	7366
444	7189	7351
445	7206	7335
446	7223	7320
447	7240	7304
448	7257	7289
449	7272	7272
450	7288	7256
451	7304	7240
452	7321	7224
453	7336	7207
454	7353	7191
455	7370	7176
456	7388	7162
457	7404	7146
458	7424	7133
459	7446	7122
460	7471	7115
461	7490	7101
462	7506	7084
463	7525	7071
464	7544	7057
465	7560	7041
466	7576	7025
467	7593	7009
468	7609	6993
469	7626	6977
470	7644	6962
471	7663	6949
472	7690	6942
473	7708	6927
474	7726	6913
475	7743	6897
476	7764	6885
477	7787	6874
478	7804	6859
479	7822	6844
480	7839	6828
481	7856	6813
482	7874	6798
483	7889	6781
484	7905	6764
485	7920	6747
486	7937	6731
487	7954	6715
488	7969	6698
489	7985	6681
490	8000	6664
491	8015	6646
492	8030	6629
493	8045	6612
494	8062	6596
495	8077	6578
496	8091	6561
497	8106	6544
498	8121	6526
499	8137	6509
500	8152	6492
501	8168	6476
502	8184	6459
503	8200	6443
504	8215	6425
505	8231	6409
506	8248	6394
507	8264	6377
508	8280	6360
509	8295	6343
510	8312	6328
511	8330	6312
512	8345	6296
513	8361	6279
514	8376	6262
515	8391	6244
516	8408	6228
517	8425	6213
518	8440	6196
519	8457	6180
520	8472	6163
521	8486	6145
522	8502	6128
523	8517	6111
524	8533	6095
525	8550	6079
526	8567	6063
527	8585	6048
528	8602	6033
529	8624	6020
530	8642	6005
531	8660	5990
532	8683	5979
533	8701	5963
534	8720	5949
535	8739	5934
536	8757	5919
537	8772	5902
538	8790	5887
539	8807	5871
540	8823	5855
541	8840	5838
542	8856	5823
543	8873	5806
544	8890	5790
545	8907	5774
546	8924	5759
547	8942	5743
548	8959	5728
549	8977	5712
550	8992	5696
551	9008	5679
552	9024	5662
553	9041	5646
554	9057	5630
555	9072	5612
556	9088	5596
557	9105	5580
558	9122	5565
559	9139	5548
560	9155	5532
561	9172	5516
562	9188	5499
563	9204	5483
564	9220	5466
565	9237	5450
566	9252	5433
567	9268	5417
568	9283	5400
569	9299	5383
570	9314	5366
571	9330	5350
572	9346	5333
573	9362	5317
574	9381	5302
575	9399	5287
576	9415	5270
577	9432	5254
578	9448	5238
579	9463	5221
580	9479	5204
581	9494	5187
582	9511	5171
583	9528	5156
584	9544	5139
585	9558	5121
586	9573	5104
587	9591	5089
588	9606	5072
589	9622	5056
590	9640	5040
591	9656	5023
592	9678	5010
593	9698	4996
594	9716	4980
595	9731	4963
596	9746	4946
597	9764	4931
598	9780	4914
599	9794	4897
600	9809	4880
601	9824	4863
602	9839	4846
603	9854	4829
604	9868	4812
605	9884	4795
606	9901	4779
607	9916	4762
608	9933	4746
609	9950	4730
610	9965	4713
611	9984	4698
612	10001	4682
613	10016	4665
614	10032	4649
615	10047	4632
616	10063	4615
617	10079	4599
618	10095	4582
619	10112	4567
620	10128	4550
621	10144	4533
622	10160	4517
623	10176	4500
624	10191	4484
625	10207	4467
626	10222	4450
627	10238	4434
628	10255	4418
629	10271	4402
630	10288	4386
631	10304	4369
632	10320	4353
633	10337	4337
634	10352	4320
635	10367	4303
636	10383	4287
637	10400	4270
638	10416	4254
639	10431	4237
640	10446	4221
641	10462	4204
642	10479	4188
643	10494	4171
644	10510	4155
645	10528	4139
646	10545	4123
647	10562	4107
648	10579	4091
649	10595	4075
650	10614	4059
651	10631	4044
652	10648	4027
653	10669	4013
654	10692	3999
655	10708	3983
656	10722	3966
657	10739	3949
658	10755	3933
659	10771	3916
660	10785	3899
661	10801	3883
662	10816	3866
663	10833	3850
664	10847	3833
665	10863	3816
666	10878	3800
667	10893	3783
668	10908	3766
669	10923	3749
670	10939	3733
671	10955	3717
672	10972	3700
673	10989	3684
674	11005	3668
675	11020	3651
676	11037	3635
677	11053	3619
678	11070	3603
679	11086	3586
680	11102	3570
681	11117	3553
682	11133	3537
683	11148	3520
684	11162	3503
685	11178	3487
686	11194	3470
687	11211	3454
688	11228	3438
689	11245	3422
690	11262	3406
691	11278	3390
692	11295	3373
693	11312	3357
694	11332	3342
695	11348	3326
696	11363	3309
697	11377	3292
698	11393	3276
